College,Major,Course Code,Average GPA,Number of Students
Agricultural and Environmental Sciences,Animal Biology,AABI,3.066,246
Agricultural and Environmental Sciences,Agricultural and Environmental Education,AAEE,2.941,57
Agricultural and Environmental Sciences,Agricultural and Environmental Technology,AAET,3.161,29
Agricultural and Environmental Sciences,Animal Science and Management,AANM,2.931,69
Agricultural and Environmental Sciences,Animal Science,AANS,3.073,1112
Agricultural and Environmental Sciences,Atmospheric Science,AATM,3.15,19
Agricultural and Environmental Sciences,Agricultural and Managerial Economics,AAME,0.0,0
Agricultural and Environmental Sciences,Agricultural Economics and Business Management,AAEB,0.0,0
Agricultural and Environmental Sciences,Agricultural Science and Management,AASM,0.0,0
Agricultural and Environmental Sciences,Avian Sciences,AAVS,0.0,0
Agricultural and Environmental Sciences,Biotechnology,ABIT,3.258,211
Agricultural and Environmental Sciences,Clinical Nutrition,ACNU,3.097,242
Agricultural and Environmental Sciences,Community and Regional Development,ACRD,3.29,77
Agricultural and Environmental Sciences,Ecological Management and Restoration,AEMR,3.279,23
Agricultural and Environmental Sciences,Entomology,AENT,3.126,37
Agricultural and Environmental Sciences,Biochemistry,ABCH,0.0,0
Agricultural and Environmental Sciences,Biochemistry and Molecular Biology,ABMB,0.0,0
Agricultural and Environmental Sciences,Biological Sciences,ABIS,0.0,0
Agricultural and Environmental Sciences,Cell Biology,ACBI,0.0,0
Agricultural and Environmental Sciences,Design,ADES,0.0,0
Agricultural and Environmental Sciences,Environmental Horticulture and Urban Forestry,AEHF,3.135,39
Agricultural and Environmental Sciences,Environmental Policy Analysis and Planning,AEPP,3.343,199
Agricultural and Environmental Sciences,Environmental Science and Management,AESM,3.255,403
Agricultural and Environmental Sciences,Environmental Toxicology,AETX,2.897,68
Agricultural and Environmental Sciences,Food Science,AFSC,3.167,180
Agricultural and Environmental Sciences,Environmental and Resource Sciences,AERS,0.0,0
Agricultural and Environmental Sciences,Environmental Biology and Management,AEBM,0.0,0
Agricultural and Environmental Sciences,Exploratory - Animal and Plant Sciences,AEXA,0.0,0
Agricultural and Environmental Sciences,Fermentation Science,AFMS,0.0,0
Agricultural and Environmental Sciences,Fiber and Polymer Science,AFPS,0.0,0
Agricultural and Environmental Sciences,Global Disease Biology,AGDB,3.089,223
Agricultural and Environmental Sciences,Human Development,AHDE,3.252,603
Agricultural and Environmental Sciences,Hydrology,AHYD,3.204,5
Agricultural and Environmental Sciences,International Agricultural Development,AIAD,3.17,35
Agricultural and Environmental Sciences,Landscape Architecture,ALDA,3.504,78
Agricultural and Environmental Sciences,Marine and Coastal Science,AMCS,2.973,23
Agricultural and Environmental Sciences,Managerial Economics,AMGE,3.249,1149
Agricultural and Environmental Sciences,Individual,AIND,0.0,0
Agricultural and Environmental Sciences,Limited Status,ALMT,0.0,0
Agricultural and Environmental Sciences,"Neurobiology, Physiology, and Behavior",ANPB,0.0,0
Agricultural and Environmental Sciences,Undeclared/Exploratory Program,AEXP,2.947,159
Agricultural and Environmental Sciences,Nutrition Science,ANSC,3.095,173
Agricultural and Environmental Sciences,Pre-Landscape Architecture,APLA,3.112,66
Agricultural and Environmental Sciences,Plant Sciences,APLT,3.124,95
Agricultural and Environmental Sciences,Sustainable Agriculture and Food Systems,ASAF,3.123,98
Agricultural and Environmental Sciences,Sustainable Environmental Design,ASED,3.299,171
Agricultural and Environmental Sciences,Viticulture and Enology,AVEN,3.147,49
Agricultural and Environmental Sciences,Physiology,APHS,0.0,0
Agricultural and Environmental Sciences,Pre-Managerial Economics,APME,0.0,0
Agricultural and Environmental Sciences,Textiles and Clothing,ATXC,0.0,0
Agricultural and Environmental Sciences,"Wildlife, Fish, and Conservation Biology",AWFC,3.132,240
Biological Sciences,Biological Sciences,BBIS,3.107,1408
Biological Sciences,Biochemistry and Molecular Biology,BBMB,3.229,708
Biological Sciences,Cell Biology,BCBI,3.241,130
Biological Sciences,"Evolution, Ecology, and Biodiversity",BEEB,3.27,97
Biological Sciences,Exercise Biology,BEXB,2.56,1
Biological Sciences,Genetics and Genomics,BGGN,3.199,231
Biological Sciences,Human Biology,BHUB,3.251,260
Biological Sciences,Individual,BIND,3.491,4
Biological Sciences,Genetics,BGEN,0.0,0
Biological Sciences,Marine and Coastal Science,BMCS,3.149,69
Biological Sciences,Microbiology,BMIC,2.416,2
